anno,area,scopo,notti
2016,ITC3,TRIP,14367000
2016,ITC4,BUS,2209000
2016,ITC4,HOL,11883000
2016,ITC4,HOLL,7033000
2016,ITC4,HOLS,4850000
2016,ITC4,TRIP,14092000
2016,ITD1,BUS,171000
2016,ITD1,HOL,9732000
2016,ITD1,HOLL,8018000
2016,ITD1,HOLS,1714000
2016,ITD1,TRIP,9903000
2016,ITD2,BUS,198000
2016,ITD2,HOL,9070000
2016,ITD2,HOLL,7822000
2016,ITD2,HOLS,1248000
2016,ITD2,TRIP,9267000
2016,ITD3,BUS,1139000
2016,ITD3,HOL,22672000
2016,ITD3,HOLL,17861000
2016,ITD3,HOLS,4810000
2016,ITD3,TRIP,23811000
2016,ITD4,BUS,440000
2016,ITD4,HOL,3021000
2016,ITD4,HOLL,1588000
2016,ITD4,HOLS,1433000
2016,ITD4,TRIP,3462000
2016,ITD5,BUS,769000
2016,ITD5,HOL,30470000
2016,ITD5,HOLL,23602000
2016,ITD5,HOLS,6868000
2016,ITD5,TRIP,31239000
2016,ITE1,BUS,980000
2016,ITE1,HOL,28755000
2016,ITE1,HOLL,23643000
2016,ITE1,HOLS,5111000
2016,ITE1,TRIP,29735000
2016,ITE2,BUS,250000
2016,ITE2,HOL,3688000
2016,ITE2,HOLL,755000
2016,ITE2,HOLS,2933000
2016,ITE2,TRIP,3938000
2016,ITE3,BUS,641000
2016,ITE3,HOL,8594000
2016,ITE3,HOLL,7950000
2016,ITE3,HOLS,645000
2016,ITE3,TRIP,9235000
2016,ITE4,BUS,1539000
2016,ITE4,HOL,15515000
2016,ITE4,HOLL,11270000
2016,ITE4,HOLS,4246000
2016,ITE4,TRIP,17054000
2016,ITF1,BUS,19000
2016,ITF1,HOL,6174000
2016,ITF1,HOLL,5216000
2016,ITF1,HOLS,958000
2016,ITF1,TRIP,6193000
2016,ITF2,BUS,156000
2016,ITF2,HOL,2796000
2016,ITF2,HOLL,2638000
2016,ITF2,HOLS,158000
2016,ITF2,TRIP,2952000
2016,ITF3,BUS,388000
2016,ITF3,HOL,14754000
2016,ITF3,HOLL,11230000
2016,ITF3,HOLS,3524000
2016,ITF3,TRIP,15142000
2016,ITF4,BUS,39000
2016,ITF4,HOL,22841000
2016,ITF4,HOLL,21678000
2016,ITF4,HOLS,1164000
2016,ITF4,TRIP,22880000
2016,ITF5,BUS,119000
2016,ITF5,HOL,1151000
2016,ITF5,HOLL,1030000
2016,ITF5,HOLS,121000
2016,ITF5,TRIP,1270000
2016,ITF6,BUS,748000
2016,ITF6,HOL,11392000
2016,ITF6,HOLL,10700000
2016,ITF6,HOLS,692000
2016,ITF6,TRIP,12139000
2016,ITG1,BUS,476000
2016,ITG1,HOL,11962000
2016,ITG1,HOLL,10803000
2016,ITG1,HOLS,1158000
2016,ITG1,TRIP,12438000
2016,ITG2,BUS,165000
2016,ITG2,HOL,13454000
2016,ITG2,HOLL,12434000
2016,ITG2,HOLS,1020000
2016,ITG2,TRIP,13620000
2017,IT,BUS,10852000
2017,IT,HOL,280257000
2017,IT,HOLL,231284000
2017,IT,HOLS,48973000
2017,IT,TRIP,291108000
2017,ITC1,BUS,967000
2017,ITC1,HOL,9646000
2017,ITC1,HOLL,6716000
2017,ITC1,HOLS,2930000
2017,ITC1,TRIP,10613000
2017,ITC2,BUS,39000
2017,ITC2,HOL,2367000
2017,ITC2,HOLL,2052000
2017,ITC2,HOLS,315000
2017,ITC2,TRIP,2406000
2017,ITC3,BUS,448000
2017,ITC3,HOL,16326000
2017,ITC3,HOLL,12734000
2017,ITC3,HOLS,3592000
2017,ITC3,TRIP,16775000
2017,ITC4,BUS,1386000
2017,ITC4,HOL,12307000
2017,ITC4,HOLL,8578000
2017,ITC4,HOLS,3728000
2017,ITC4,TRIP,13693000
2017,ITD1,BUS,6000
2017,ITD1,HOL,8975000
2017,ITD1,HOLL,7712000
2017,ITD1,HOLS,1263000
2017,ITD1,TRIP,8982000
2017,ITD2,BUS,29000
2017,ITD2,HOL,10173000
2017,ITD2,HOLL,8182000
2017,ITD2,HOLS,1990000
2017,ITD2,TRIP,10202000
2017,ITD3,BUS,950000
2017,ITD3,HOL,14783000
2017,ITD3,HOLL,9338000
2017,ITD3,HOLS,5445000
2017,ITD3,TRIP,15732000
2017,ITD4,BUS,0
2017,ITD4,HOL,1914000
2017,ITD4,HOLL,1252000
2017,ITD4,HOLS,662000
2017,ITD4,TRIP,1914000
2017,ITD5,BUS,952000
2017,ITD5,HOL,28974000
2017,ITD5,HOLL,25319000
2017,ITD5,HOLS,3654000
2017,ITD5,TRIP,29926000
2017,ITE1,BUS,829000
2017,ITE1,HOL,32021000
2017,ITE1,HOLL,25268000
2017,ITE1,HOLS,6753000
2017,ITE1,TRIP,32851000
2017,ITE2,BUS,129000
2017,ITE2,HOL,5557000
2017,ITE2,HOLL,4515000
2017,ITE2,HOLS,1042000
2017,ITE2,TRIP,5686000
2017,ITE3,BUS,88000
2017,ITE3,HOL,7202000
2017,ITE3,HOLL,5854000
2017,ITE3,HOLS,1349000
2017,ITE3,TRIP,7291000
2017,ITE4,BUS,1704000
2017,ITE4,HOL,15548000
2017,ITE4,HOLL,11164000
2017,ITE4,HOLS,4383000
2017,ITE4,TRIP,17251000
2017,ITF1,BUS,893000
2017,ITF1,HOL,13640000
2017,ITF1,HOLL,12290000
2017,ITF1,HOLS,1350000
2017,ITF1,TRIP,14533000
2017,ITF2,BUS,0
2017,ITF2,HOL,840000
2017,ITF2,HOLL,667000
2017,ITF2,HOLS,173000
2017,ITF2,TRIP,840000
2017,ITF3,BUS,489000
2017,ITF3,HOL,18960000
2017,ITF3,HOLL,14926000
2017,ITF3,HOLS,4034000
2017,ITF3,TRIP,19449000
2017,ITF4,BUS,531000
2017,ITF4,HOL,29403000
2017,ITF4,HOLL,27171000
2017,ITF4,HOLS,2232000
2017,ITF4,TRIP,29934000
2017,ITF5,BUS,18000
2017,ITF5,HOL,2562000
2017,ITF5,HOLL,2063000
2017,ITF5,HOLS,498000
2017,ITF5,TRIP,2580000
2017,ITF6,BUS,423000
2017,ITF6,HOL,8788000
