date,provincia,origine,presenze
2017-11-01,L'Aquila,estero,3191.0
2017-12-01,L'Aquila,estero,2512.0
2018-01-01,L'Aquila,estero,3196.0
2018-02-01,L'Aquila,estero,5022.0
2018-03-01,L'Aquila,estero,3434.0
2018-04-01,L'Aquila,estero,4685.0
2018-05-01,L'Aquila,estero,8135.0
2018-06-01,L'Aquila,estero,9340.0
2018-07-01,L'Aquila,estero,10077.0
2018-08-01,L'Aquila,estero,10013.0
2018-09-01,L'Aquila,estero,8464.0
2018-10-01,L'Aquila,estero,5036.0
2018-11-01,L'Aquila,estero,3151.0
2018-12-01,L'Aquila,estero,3710.0
2019-01-01,L'Aquila,estero,3087.0
2019-02-01,L'Aquila,estero,4359.0
2019-03-01,L'Aquila,estero,4307.0
2019-04-01,L'Aquila,estero,4397.0
2019-05-01,L'Aquila,estero,7035.0
2019-06-01,L'Aquila,estero,9386.0
2019-07-01,L'Aquila,estero,11538.0
2019-08-01,L'Aquila,estero,10861.0
2019-09-01,L'Aquila,estero,8614.0
2019-10-01,L'Aquila,estero,6219.0
2019-11-01,L'Aquila,estero,2853.0
2019-12-01,L'Aquila,estero,2947.0
2020-01-01,L'Aquila,estero,2815.0
2020-02-01,L'Aquila,estero,3879.0
2020-03-01,L'Aquila,estero,572.0
2020-04-01,L'Aquila,estero,237.0
2020-05-01,L'Aquila,estero,324.0
2020-06-01,L'Aquila,estero,837.0
2020-07-01,L'Aquila,estero,3597.0
2020-08-01,L'Aquila,estero,4417.0
2020-09-01,L'Aquila,estero,4815.0
2020-10-01,L'Aquila,estero,2276.0
2020-11-01,L'Aquila,estero,861.0
2020-12-01,L'Aquila,estero,632.0
2021-01-01,L'Aquila,estero,796.0
2021-02-01,L'Aquila,estero,1032.0
2021-03-01,L'Aquila,estero,865.0
2021-04-01,L'Aquila,estero,893.0
2021-05-01,L'Aquila,estero,1907.0
2021-06-01,L'Aquila,estero,4330.0
2021-07-01,L'Aquila,estero,7834.0
2021-08-01,L'Aquila,estero,8021.0
