date,arrivi,presenze
2023-11-01,217035.0,658182.0
2023-12-01,736849.0,2570688.0
2024-01-01,672791.0,3259071.0
2024-02-01,720338.0,3464336.0
2024-03-01,627906.0,2677259.0
2024-04-01,331052.0,1306380.0
2024-05-01,591213.0,2256503.0
2024-06-01,811982.0,3105394.0
2024-07-01,1133813.0,5053293.0
2024-08-01,1268919.0,6031941.0
2024-09-01,906159.0,3761801.0
2024-10-01,665001.0,2682798.0
2024-11-01,267349.0,760881.0
2024-12-01,732842.0,2716808.0
2025-01-01,691012.0,3346743.0
2025-02-01,698826.0,3322624.0
2025-03-01,554847.0,2437943.0
2025-04-01,449641.0,1721510.0
2025-05-01,530912.0,1857176.0
2025-06-01,956846.0,3639709.0
2025-07-01,1180211.0,5339808.0
2025-08-01,1298746.0,6170785.0
2025-09-01,934545.0,3881783.0
2025-10-01,696023.0,2719577.0
2025-11-01,273480.0,802684.0
2025-12-01,807246.0,3001556.0
2026-01-01,735937.0,3410694.0
2026-02-01,720473.0,3498677.0
2026-03-01,538280.0,2338535.0
2026-04-01,439627.0,1728313.0
2026-05-01,659221.0,2273885.0
