anno,sigla_provincia,comune,cod_istat,ambito,arrivi_italiani,arrivi_stranieri,presenze_italiane,presenze_straniere
2018,PI,Fauglia e Orciano Pisano,50014+50023,Terre di Pisa,2357,1441,6912,7807
2018,PI,Guardistallo,50015,Costa degli Etruschi,2397,3379,17132,27486
2018,PI,Lajatico,50016,Terre di Pisa,872,2073,2141,14695
2018,PI,Montecatini Val di Cecina,50019,Terre di Valdelsa ed Etruria Volterrana,6578,8603,15973,45771
2018,PI,Montescudaio,50020,Costa degli Etruschi,2366,6862,12706,62696
2018,PI,Monteverdi Marittimo,50021,Terre di Valdelsa ed Etruria Volterrana,2003,1593,4672,8189
2018,PI,Montopoli in Val d'Arno,50022,Terre di Pisa,2662,4860,7017,27616
2018,PI,Palaia,50024,Terre di Pisa,3225,9241,21472,75451
2018,PI,Peccioli,50025,Terre di Pisa,1521,3813,2943,23761
2018,PI,Pisa,50026,Terre di Pisa,297547,516649,981782,959558
2018,PI,Pomarance,50027,Terre di Valdelsa ed Etruria Volterrana,6254,5911,30846,37990
2018,PI,Ponsacco,50028,Terre di Pisa,4327,2089,8562,8919
2018,PI,Pontedera,50029,Terre di Pisa,16024,26685,29865,38355
2018,PI,Riparbella,50030,Costa degli Etruschi,5482,7213,18678,54217
2018,PI,San Giuliano Terme,50031,Terre di Pisa,21575,21382,284234,97513
2018,PI,San Miniato,50032,Terre di Pisa,12001,10756,21103,32363
2018,PI,Santa Croce sull'Arno,50033,Terre di Pisa,230,89,280,1493
2018,PI,Santa Luce,50034,Costa degli Etruschi,3997,2628,12852,21641
2018,PI,Santa Maria a Monte,50035,Terre di Pisa,1867,5857,8141,7280
2018,PI,Terricciola,50036,Terre di Pisa,1732,4962,4497,30331
2018,PI,Vecchiano,50037,Terre di Pisa,5865,15988,10221,22365
2018,PI,Vicopisano,50038,Terre di Pisa,890,715,1826,3672
2018,PI,Volterra,50039,Terre di Valdelsa ed Etruria Volterrana,46670,41706,95215,163170
